Date,FY17,FY18,FY19,FY20,
1-Jul,12563,13035,12682,12537,
2-Jul,9989,12682,12266,14112,
3-Jul,9287,12266,12398,13766,
4-Jul,9629,12398,14156,10836,
5-Jul,13103,14156,13973,12033,
6-Jul,13553,13973,13822,12537,
7-Jul,14093,13822,12361,12884,
8-Jul,13553,12361,11498,14459,
9-Jul,12365,11498,14377,13482,
10-Jul,10727,14377,14578,13860,
11-Jul,12707,14578,14288,15246,
12-Jul,13499,15926,13331,13955,
13-Jul,14003,15939,13665,12159,
14-Jul,14795,15719,11926,12884,
15-Jul,13553,12789,12052,13797,
16-Jul,12365,12594,15649,15152,
17-Jul,11663,15826,15296,15372,
18-Jul,14741,15819,13690,14931,
19-Jul,13589,15574,12865,14931,
20-Jul,13301,16021,13488,14018,
21-Jul,13409,15700,11258,13766,
22-Jul,14093,14232,10975,15152,
23-Jul,13014,13589,14093,12884,
24-Jul,12365,14767,13892,12915,
25-Jul,15389,13866,14137,12726,
26-Jul,14849,13942,14162,13041,
27-Jul,14147,14629,14270,12033,
28-Jul,14543,14358,11529,11970,
29-Jul,13607,11510,11309,13860,
30-Jul,12419,10975,13104,14105,
31-Jul,12113,13438,12821,13799,
1-Aug,14039,13640,13703,,
2-Aug,13103,14364,13860,,
3-Aug,12599,14717,13388,,
4-Aug,12257,15076,12002,,
5-Aug,12311,11926,12600,,
6-Aug,12257,10905,14522,,
7-Aug,10277,12852,14742,,
8-Aug,11861,12707,14805,,
9-Aug,11717,12663,14018,,
10-Aug,13751,12921,13640,,
11-Aug,15047,12852,12663,,
12-Aug,14939,12329,11970,,
13-Aug,13049,12184,13514,,
14-Aug,13157,13268,13167,,
15-Aug,14454,13791,13640,,
16-Aug,14993,14969,14711,,
17-Aug,14795,15624,14459,,
18-Aug,14400,15719,12411,,
19-Aug,13301,13262,11466,,
20-Aug,11915,12877,13451,,
21-Aug,13014,15618,14427,,
22-Aug,13103,15882,14459,,
23-Aug,13211,14559,12600,,
24-Aug,14003,13482,13010,,
25-Aug,15191,13696,12065,,
26-Aug,15678,12783,13073,,
27-Aug,13553,12524,16916,,
28-Aug,13553,14490,17987,,
29-Aug,16037,14509,18270,,
30-Aug,15533,14704,17042,,
31-Aug,16289,16109,17168,,
1-Sep,14993,13268,14018,,
2-Sep,13553,11485,14049,,
3-Sep,12167,12310,15309,,
4-Sep,12167,13255,17420,,
5-Sep,12707,16550,17577,,
6-Sep,15245,14307,17829,,
7-Sep,16073,14043,16979,,
8-Sep,16685,14188,13293,,
9-Sep,16289,12222,12222,,
10-Sep,15047,11926,14301,,
11-Sep,12906,14030,15278,,
12-Sep,15191,14112,16695,,
13-Sep,15786,15246,15498,,
14-Sep,15443,16084,15215,,
15-Sep,14400,15309,13766,,
16-Sep,13607,14049,13388,,
17-Sep,13301,14301,15719,,
18-Sep,13949,16134,16821,,
19-Sep,14993,16330,16065,,
20-Sep,15191,16393,16349,,
21-Sep,14993,16569,14364,,
22-Sep,15245,16084,12695,,
23-Sep,14741,13936,12096,,
24-Sep,12761,14566,14112,,
25-Sep,11861,17186,15183,,
26-Sep,13301,16443,15908,,
27-Sep,13607,17438,13703,,
28-Sep,13805,15265,13955,,
29-Sep,13895,13791,12380,,
30-Sep,13103,12014,12537,,
1-Oct,11663,12191,15593,,
2-Oct,11969,13910,15467,,
3-Oct,13751,14181,15782,,
4-Oct,13805,14837,16538,,
5-Oct,13355,14849,13829,,
6-Oct,13355,15366,12726,,
7-Oct,12960,14137,13860,,
8-Oct,11861,14900,14490,,
9-Oct,10421,15378,15530,,
10-Oct,11466,16651,15750,,
11-Oct,12221,16109,16506,,
12-Oct,12798,13961,12947,,
13-Oct,12960,13457,10742,,
14-Oct,12167,12279,11844,,
15-Oct,11574,12827,13860,,
16-Oct,11771,13129,12632,,
17-Oct,14147,13085,12978,,
18-Oct,14201,13589,12222,,
19-Oct,14597,13243,12254,,
20-Oct,15191,13860,10931,,
21-Oct,13805,12065,10710,,
22-Oct,11375,11857,12191,,
23-Oct,11123,14345,12947,,
24-Oct,12563,14150,11907,,
25-Oct,12365,13388,11687,,
26-Oct,12257,12531,11372,,
27-Oct,12113,12984,10017,,
28-Oct,11969,11504,10805,,
29-Oct,10871,11699,11939,,
30-Oct,11574,12417,12285,,
31-Oct,12167,12682,12348,,
1-Nov,12113,12934,13356,,
2-Nov,13355,14477,13136,,
3-Nov,13553,13860,10395,,
4-Nov,11915,10886,16191,,
5-Nov,10925,16449,11970,,
6-Nov,10925,13854,12789,,
7-Nov,12005,12153,12411,,
8-Nov,12509,12329,12254,,
9-Nov,12563,12386,11781,,
10-Nov,12365,11819,10206,,
11-Nov,12311,10219,10332,,
12-Nov,10223,10691,11655,,
13-Nov,10727,11844,11624,,
14-Nov,12311,12165,12002,,
15-Nov,12203,12480,10364,,
16-Nov,12311,13142,11498,,
17-Nov,12365,12197,10647,,
18-Nov,12365,11548,10553,,
19-Nov,11501,10729,12317,,
20-Nov,9935,12329,11592,,
21-Nov,11412,12272,9230,,
22-Nov,11717,12329,8820,,
23-Nov,8640,12272,8316,,
24-Nov,8387,9387,9230,,
25-Nov,8694,8625,10490,,
26-Nov,8837,8795,11813,,
27-Nov,9827,9809,11813,,
28-Nov,11321,10345,12443,,
29-Nov,12167,12241,12002,,
30-Nov,13085,12921,11529,,
1-Dec,11915,13753,10490,,
2-Dec,11520,12600,11561,,
3-Dec,10277,11174,12317,,
4-Dec,10277,12356,11876,,
5-Dec,12311,12712,12033,,
6-Dec,11466,12206,11750,,
7-Dec,11267,12356,11750,,
8-Dec,11321,11737,10049,,
9-Dec,10871,10583,10395,,
10-Dec,9827,10331,11907,,
11-Dec,9827,11267,11592,,
12-Dec,11267,11520,11687,,
13-Dec,11069,11807,11750,,
14-Dec,11123,12008,11025,,
15-Dec,11123,11340,10269,,
16-Dec,11123,10912,10143,,
17-Dec,10421,11031,11687,,
18-Dec,10331,11913,10962,,
19-Dec,10619,12046,10049,,
20-Dec,10080,10584,10080,,
21-Dec,9683,10055,10868,,
22-Dec,8045,8877,8064,,
23-Dec,7595,8864,7749,,
24-Dec,7397,7881,7403,,
25-Dec,7541,8058,7308,,
26-Dec,7451,8492,7560,,
27-Dec,8243,8719,8663,,
28-Dec,7793,9009,8033,,
29-Dec,7847,7991,8127,,
30-Dec,8189,7847,8285,,
31-Dec,7649,8640,7686,,
1-Jan,7595,8719,8537,,
2-Jan,7595,8555,7749,,
3-Jan,7595,8455,7718,,
4-Jan,7991,9878,8064,,
5-Jan,8837,10219,7560,,
6-Jan,9035,9645,9198,,
7-Jan,8441,9387,9860,,
8-Jan,8783,10874,9671,,
9-Jan,9683,10754,9860,,
10-Jan,9629,10634,9608,,
11-Jan,10331,10949,9608,,
12-Jan,10277,12077,8663,,
13-Jan,9287,9752,8316,,
14-Jan,8441,9116,8379,,
15-Jan,8243,9028,9576,,
16-Jan,8243,10697,9734,,
17-Jan,9575,11296,9891,,
18-Jan,10367,10962,9828,,
19-Jan,9881,11327,9135,,
20-Jan,9773,10112,9482,,
21-Jan,9035,10861,10112,,
22-Jan,9827,13123,11309,,
23-Jan,11663,12991,11750,,
24-Jan,11267,12191,11687,,
25-Jan,11915,12468,10899,,
26-Jan,11574,12575,9891,,
27-Jan,10925,11246,10269,,
28-Jan,9683,11246,11246,,
29-Jan,10080,12260,11151,,
30-Jan,11069,11555,11624,,
31-Jan,11771,11520,11844,,
1-Feb,11663,12291,11529,,
2-Feb,11321,12493,10017,,
3-Feb,10979,11271,10773,,
4-Feb,9881,11075,12348,,
5-Feb,10080,12745,13703,,
6-Feb,12059,12228,12348,,
7-Feb,13661,12556,12096,,
8-Feb,12311,12707,12128,,
9-Feb,11015,12663,9828,,
10-Feb,10727,11453,9923,,
11-Feb,10026,11876,11277,,
12-Feb,10223,12039,11277,,
13-Feb,11520,12172,11970,,
14-Feb,11574,12493,11781,,
15-Feb,11446,14402,12600,,
16-Feb,11069,12865,10584,,
17-Feb,11123,10962,9986,,
18-Feb,10871,10735,11907,,
19-Feb,10871,11945,11183,,
20-Feb,12311,13929,9639,,
21-Feb,11915,14282,12096,,
22-Feb,12995,12512,11718,,
23-Feb,12906,11592,10238,,
24-Feb,12455,11082,10742,,
25-Feb,11321,11195,12128,,
26-Feb,9773,12241,11750,,
27-Feb,11771,12909,11813,,
28-Feb,11915,13136,12096,,
1-Mar,12906,12569,11183,,
2-Mar,11069,10307,10301,,
3-Mar,10781,10546,10521,,
4-Mar,9377,10351,11529,,
5-Mar,9431,11838,11624,,
6-Mar,11520,12455,11876,,
7-Mar,12257,12039,11844,,
8-Mar,11969,11819,11025,,
9-Mar,12455,12115,9513,,
10-Mar,10925,10571,9765,,
11-Mar,8837,9450,10679,,
12-Mar,8045,10351,10112,,
13-Mar,9521,10420,10805,,
14-Mar,8387,10685,11183,,
15-Mar,9683,10408,11970,,
16-Mar,9377,10666,9608,,
17-Mar,9377,9702,10238,,
18-Mar,9773,10956,11970,,
19-Mar,8837,12436,12002,,
20-Mar,10781,11901,12285,,
21-Mar,11861,9614,12222,,
22-Mar,11123,12575,11718,,
23-Mar,11321,12027,11309,,
24-Mar,11574,10786,11655,,
25-Mar,10673,11063,12411,,
26-Mar,9683,12569,11687,,
27-Mar,12815,12052,12065,,
28-Mar,12852,13104,12506,,
29-Mar,12059,13287,12726,,
30-Mar,11717,12827,11844,,
31-Mar,10673,10905,10805,,
1-Apr,10134,10590,12065,,
2-Apr,9935,11680,11970,,
3-Apr,12023,11718,12884,,
4-Apr,13049,13091,13073,,
5-Apr,12311,11844,11529,,
6-Apr,12113,12424,11214,,
7-Apr,10673,9885,11183,,
8-Apr,10673,10477,13640,,
9-Apr,10925,12153,12663,,
10-Apr,13463,11850,12443,,
11-Apr,13499,12216,12348,,
12-Apr,13247,13350,12569,,
13-Apr,12113,13444,11781,,
14-Apr,12257,12726,11876,,
15-Apr,11663,10723,12033,,
16-Apr,12311,12096,12033,,
17-Apr,12617,11699,12506,,
18-Apr,12563,13117,13671,,
19-Apr,11717,12695,13671,,
20-Apr,13211,12884,12002,,
21-Apr,13355,11346,10395,,
22-Apr,12761,11800,12317,,
23-Apr,10277,13211,13671,,
24-Apr,11807,12713,13514,,
25-Apr,11969,12833,12695,,
26-Apr,12203,12821,12506,,
27-Apr,14184,12380,11151,,
28-Apr,13445,11781,10836,,
29-Apr,12653,10679,12695,,
30-Apr,13103,12928,13829,,
1-May,14489,13136,12852,,
2-May,13301,14263,15152,,
3-May,12509,14761,14931,,
4-May,12401,15315,12506,,
5-May,12798,12014,12348,,
6-May,11825,11800,13640,,
7-May,10080,13577,14301,,
8-May,11466,13438,13514,,
9-May,11663,13621,13892,,
10-May,12257,14175,14459,,
11-May,11520,13734,11592,,
12-May,11064,13816,10206,,
13-May,10026,12468,11561,,
14-May,10421,14755,11466,,
15-May,11609,15290,12033,,
16-May,12563,14144,12033,,
17-May,13949,13425,12222,,
18-May,13949,12682,11939,,
19-May,13949,10893,11655,,
20-May,11879,11775,13986,,
21-May,9089,12575,11057,,
22-May,11069,12487,10836,,
23-May,10475,12934,12380,,
24-May,11069,12241,11655,,
25-May,11321,12713,10836,,
26-May,10565,12317,11781,,
27-May,10169,12222,11183,,
28-May,10026,10559,13356,,
29-May,10223,13986,13608,,
30-May,11267,13230,13451,,
31-May,12113,13476,12695,,
1-Jun,11717,13539,11561,,
2-Jun,11861,12644,11781,,
3-Jun,10277,11094,11561,,
4-Jun,10817,11460,11592,,
5-Jun,12167,12077,13010,,
6-Jun,11466,12241,13671,,
7-Jun,11412,12562,12947,,
8-Jun,11069,13199,11214,,
9-Jun,11717,12537,10962,,
10-Jun,11267,11819,12348,,
11-Jun,11915,11989,11750,,
12-Jun,13805,11850,11592,,
13-Jun,13751,13627,11813,,
14-Jun,13751,12581,11309,,
15-Jun,13355,12682,10584,,
16-Jun,13301,11712,11624,,
17-Jun,12113,12083,14270,,
18-Jun,12311,15511,13986,,
19-Jun,14651,15611,14081,,
20-Jun,13014,14049,13986,,
21-Jun,13553,14295,12191,,
22-Jun,13553,12279,10490,,
23-Jun,13607,11485,10742,,
24-Jun,12077,11951,13671,,
25-Jun,11069,13583,13797,,
26-Jun,12113,12732,13356,,
27-Jun,12257,13243,15143,,
28-Jun,12257,13855,14105,,
29-Jun,12707,13801,12762,,
30-Jun,13355,13261,12762,,
,,,,,
,,,,,
,,,,,
