Date,FY17,FY18,FY19,FY20
1-Jul,88,91,93,86
2-Jul,80,90,95,95
3-Jul,73,90,96,93
4-Jul,72,90,91,92
5-Jul,90,84,90,91
6-Jul,91,80,85,95
7-Jul,90,88,80,89
8-Jul,89,87,83,77
9-Jul,91,83,87,86
10-Jul,85,90,93,88
11-Jul,87,89,91,91
12-Jul,86,93,88,90
13-Jul,91,94,86,91
14-Jul,95,94,89,94
15-Jul,91,87,88,92
16-Jul,92,87,94,94
17-Jul,90,89,89,96
18-Jul,95,92,86,92
19-Jul,91,93,87,96
20-Jul,86,93,74,98
21-Jul,90,93,80,100
22-Jul,94,90,82,94
23-Jul,98,87,82,77
24-Jul,97,90,82,84
25-Jul,100,79,82,87
26-Jul,95,84,89,88
27-Jul,94,87,90,90
28-Jul,92,78,85,94
29-Jul,90,77,85,96
30-Jul,88,82,77,97
31-Jul,90,88,82,86
1-Aug,90,89,87,
2-Aug,88,89,80,
3-Aug,82,88,82,
4-Aug,84,88,88,
5-Aug,80,79,91,
6-Aug,91,80,92,
7-Aug,89,74,92,
8-Aug,88,80,91,
9-Aug,78,84,90,
10-Aug,93,83,88,
11-Aug,95,83,87,
12-Aug,96,84,83,
13-Aug,99,83,84,
14-Aug,97,77,84,
15-Aug,96,80,89,
16-Aug,96,89,90,
17-Aug,94,89,92,
18-Aug,90,93,84,
19-Aug,89,88,82,
20-Aug,90,86,79,
21-Aug,90,89,79,
22-Aug,85,91,83,
23-Aug,85,83,79,
24-Aug,87,81,82,
25-Aug,91,78,82,
26-Aug,95,79,87,
27-Aug,92,77,92,
28-Aug,90,76,95,
29-Aug,94,67,94,
30-Aug,91,78,89,
31-Aug,91,85,89,
1-Sep,84,69,86,
2-Sep,80,61,89,
3-Sep,80,78,94,
4-Sep,82,82,94,
5-Sep,88,86,92,
6-Sep,93,68,94,
7-Sep,94,72,87,
8-Sep,96,76,73,
9-Sep,98,71,64,
10-Sep,96,72,68,
11-Sep,84,72,72,
12-Sep,84,77,81,
13-Sep,90,78,79,
14-Sep,93,80,77,
15-Sep,77,82,81,
16-Sep,77,84,80,
17-Sep,82,83,78,
18-Sep,89,80,84,
19-Sep,76,82,86,
20-Sep,81,87,83,
21-Sep,84,85,76,
22-Sep,87,83,76,
23-Sep,91,86,62,
24-Sep,76,89,65,
25-Sep,74,89,77,
26-Sep,68,85,86,
27-Sep,77,89,70,
28-Sep,68,79,75,
29-Sep,68,73,78,
30-Sep,64,67,75,
1-Oct,65,69,84,
2-Oct,75,74,84,
3-Oct,76,74,86,
4-Oct,75,79,89,
5-Oct,71,85,76,
6-Oct,71,85,72,
7-Oct,70,85,84,
8-Oct,66,83,84,
9-Oct,67,87,82,
10-Oct,65,75,83,
11-Oct,66,66,80,
12-Oct,69,64,64,
13-Oct,73,64,58,
14-Oct,64,73,57,
15-Oct,67,79,70,
16-Oct,75,70,63,
17-Oct,84,63,68,
18-Oct,85,70,58,
19-Oct,87,73,64,
20-Oct,83,76,69,
21-Oct,76,77,52,
22-Oct,58,75,56,
23-Oct,70,75,71,
24-Oct,70,71,56,
25-Oct,62,64,53,
26-Oct,58,59,48,
27-Oct,62,67,52,
28-Oct,61,71,59,
29-Oct,76,66,57,
30-Oct,84,59,63,
31-Oct,60,60,69,
1-Nov,60,56,74,
2-Nov,78,76,71,
3-Nov,79,77,57,
4-Nov,62,57,57,
5-Nov,66,60,52,
6-Nov,67,72,59,
7-Nov,62,51,61,
8-Nov,69,48,57,
9-Nov,64,50,49,
10-Nov,61,46,46,
11-Nov,64,37,46,
12-Nov,52,47,48,
13-Nov,64,50,47,
14-Nov,57,49,43,
15-Nov,63,54,37,
16-Nov,64,62,48,
17-Nov,61,53,48,
18-Nov,73,62,50,
19-Nov,70,60,61,
20-Nov,45,51,52,
21-Nov,43,60,53,
22-Nov,48,56,39,
23-Nov,50,44,34,
24-Nov,59,55,43,
25-Nov,59,62,61,
26-Nov,50,53,50,
27-Nov,52,60,42,
28-Nov,52,63,37,
29-Nov,57,68,38,
30-Nov,65,57,45,
1-Dec,58,54,42,
2-Dec,51,52,56,
3-Dec,48,56,58,
4-Dec,45,55,44,
5-Dec,55,61,38,
6-Dec,41,54,43,
7-Dec,50,49,40,
8-Dec,48,39,36,
9-Dec,37,35,32,
10-Dec,35,40,39,
11-Dec,40,48,44,
12-Dec,53,46,44,
13-Dec,46,34,52,
14-Dec,45,40,45,
15-Dec,34,29,52,
16-Dec,27,46,49,
17-Dec,52,51,56,
18-Dec,63,57,45,
19-Dec,35,60,50,
20-Dec,37,53,60,
21-Dec,48,45,66,
22-Dec,57,52,50,
23-Dec,46,62,46,
24-Dec,47,43,46,
25-Dec,51,39,41,
26-Dec,48,37,49,
27-Dec,67,31,50,
28-Dec,50,23,51,
29-Dec,51,31,54,
30-Dec,41,32,46,
31-Dec,47,21,47,
1-Jan,54,23,62,
2-Jan,45,25,45,
3-Jan,44,32,49,
4-Jan,56,28,46,
5-Jan,34,19,53,
6-Jan,31,19,54,
7-Jan,24,24,39,
8-Jan,22,35,59,
9-Jan,27,50,51,
10-Jan,40,43,35,
11-Jan,57,62,36,
12-Jan,70,70,34,
13-Jan,63,61,37,
14-Jan,72,26,41,
15-Jan,47,31,36,
16-Jan,45,39,43,
17-Jan,52,32,37,
18-Jan,57,46,40,
19-Jan,52,54,21,
20-Jan,49,61,40,
21-Jan,49,63,21,
22-Jan,50,66,32,
23-Jan,50,64,47,
24-Jan,47,44,59,
25-Jan,63,41,40,
26-Jan,57,48,39,
27-Jan,41,61,47,
28-Jan,47,55,38,
29-Jan,43,46,36,
30-Jan,37,35,33,
31-Jan,54,39,22,
1-Feb,51,51,23,
2-Feb,49,40,40,
3-Feb,37,34,57,
4-Feb,39,34,63,
5-Feb,53,36,72,
6-Feb,63,39,58,
7-Feb,72,40,54,
8-Feb,71,36,56,
9-Feb,52,46,34,
10-Feb,35,46,39,
11-Feb,52,67,36,
12-Feb,53,62,38,
13-Feb,46,42,48,
14-Feb,46,53,50,
15-Feb,53,76,65,
16-Feb,39,68,48,
17-Feb,52,42,39,
18-Feb,72,50,48,
19-Feb,69,47,40,
20-Feb,65,77,34,
21-Feb,57,80,54,
22-Feb,65,65,54,
23-Feb,77,47,48,
24-Feb,77,51,59,
25-Feb,77,53,48,
26-Feb,48,51,54,
27-Feb,54,58,39,
28-Feb,67,62,46,
1-Mar,75,55,37,
2-Mar,60,51,48,
3-Mar,41,49,42,
4-Mar,42,50,40,
5-Mar,39,46,41,
6-Mar,53,43,31,
7-Mar,68,50,42,
8-Mar,66,44,38,
9-Mar,71,43,40,
10-Mar,56,49,63,
11-Mar,38,50,62,
12-Mar,41,42,52,
13-Mar,46,47,61,
14-Mar,37,41,75,
15-Mar,31,53,77,
16-Mar,39,45,54,
17-Mar,50,44,52,
18-Mar,57,58,51,
19-Mar,51,60,51,
20-Mar,54,44,55,
21-Mar,62,34,46,
22-Mar,59,44,50,
23-Mar,48,49,52,
24-Mar,62,49,65,
25-Mar,78,47,62,
26-Mar,62,49,49,
27-Mar,75,43,53,
28-Mar,71,53,64,
29-Mar,65,76,68,
30-Mar,53,72,77,
31-Mar,48,61,66,
1-Apr,58,65,49,
2-Apr,64,50,48,
3-Apr,67,52,70,
4-Apr,79,69,68,
5-Apr,73,54,51,
6-Apr,62,71,69,
7-Apr,48,58,72,
8-Apr,63,51,82,
9-Apr,72,43,79,
10-Apr,81,53,70,
11-Apr,86,59,60,
12-Apr,77,77,68,
13-Apr,69,86,75,
14-Apr,62,84,76,
15-Apr,78,71,73,
16-Apr,86,53,68,
17-Apr,71,45,73,
18-Apr,73,62,81,
19-Apr,62,58,74,
20-Apr,82,60,72,
21-Apr,84,63,68,
22-Apr,65,68,72,
23-Apr,60,69,83,
24-Apr,57,62,75,
25-Apr,59,62,74,
26-Apr,73,71,75,
27-Apr,82,64,70,
28-Apr,84,77,74,
29-Apr,89,55,61,
30-Apr,86,71,83,
1-May,81,82,67,
2-May,76,88,87,
3-May,63,90,83,
4-May,65,90,75,
5-May,75,73,66,
6-May,63,68,77,
7-May,62,77,81,
8-May,64,76,68,
9-May,66,78,77,
10-May,75,82,80,
11-May,59,82,66,
12-May,56,90,58,
13-May,60,73,58,
14-May,80,81,61,
15-May,75,89,74,
16-May,81,74,78,
17-May,92,69,83,
18-May,90,68,85,
19-May,90,67,89,
20-May,71,87,88,
21-May,67,82,71,
22-May,73,80,71,
23-May,65,80,88,
24-May,65,84,84,
25-May,73,86,81,
26-May,76,88,90,
27-May,72,86,84,
28-May,74,73,90,
29-May,82,83,91,
30-May,73,78,88,
31-May,83,83,85,
1-Jun,82,88,84,
2-Jun,80,82,84,
3-Jun,84,71,73,
4-Jun,86,79,76,
5-Jun,77,80,81,
6-Jun,77,74,88,
7-Jun,69,80,80,
8-Jun,77,85,82,
9-Jun,80,88,73,
10-Jun,87,79,72,
11-Jun,91,65,78,
12-Jun,91,76,77,
13-Jun,95,83,77,
14-Jun,90,84,77,
15-Jun,85,83,82,
16-Jun,80,86,86,
17-Jun,86,88,90,
18-Jun,91,94,87,
19-Jun,87,93,87,
20-Jun,86,84,91,
21-Jun,88,82,83,
22-Jun,86,72,82,
23-Jun,87,78,84,
24-Jun,86,87,90,
25-Jun,85,83,89,
26-Jun,81,82,91,
27-Jun,80,80,95,
28-Jun,80,87,92,
29-Jun,89,90,95,
30-Jun,92,92,91,
,,,,
,,,,
,,,,
